epoch,accuracy_test_before,accuracy_test_after
0,8.447653429602887,39.061371841155236
1,28.79581151832461,44.3717277486911
2,26.541926541926543,39.43173943173943
3,37.200504413619164,43.06431273644388
4,46.56228727025187,47.37916950306331
5,37.782485875706215,41.313559322033896
6,47.45529573590097,50.96286107290234
7,55.183727034120736,53.47769028871391
8,46.54804270462633,45.40925266903915
9,51.19840213049268,49.80026631158455
10,54.31918008784773,53.00146412884333
11,49.63768115942029,53.3816425120773
12,50.23411371237459,48.69565217391305
13,54.70219435736677,51.515151515151516
14,56.029411764705884,53.67647058823529
15,55.805687203791464,55.035545023696685
16,54.47924253459577,52.22141296431173
17,52.29166666666667,56.875
18,57.4496644295302,55.83892617449664
19,57.6036866359447,57.066052227342546
20,60.63257065948856,60.094212651413194
21,56.217277486911,55.497382198952884
22,56.5028901734104,56.28612716763006
23,56.400742115027825,54.112554112554115
24,57.25658297611758,59.33864053888549
25,59.86577181208054,62.48322147651007
26,60.20114942528736,60.48850574712644
27,57.55351681957187,61.65137614678899
28,60.493084786530375,61.515333734215275
29,56.22895622895623,57.463524130190805
30,58.678286129266525,61.87363834422658
31,61.63873370577281,65.61142147734327
32,56.30407911001236,60.50679851668727
33,59.35828877005348,66.57754010695187
34,60.771889400921665,66.01382488479263
35,60.02629848783695,64.95726495726495
36,60.63893911995177,65.28028933092224
37,56.494413407821234,61.66201117318436
38,58.26028320971005,62.77815239379636
39,59.89684074790458,64.53900709219859
40,58.1858407079646,60.103244837758105
41,59.586600142551674,60.9408410548824
42,63.05104408352668,66.24129930394432
43,61.98871650211566,63.32863187588153
44,59.56399437412095,62.16596343178622
45,61.07673267326733,68.00742574257426
46,59.14634146341463,65.1567944250871
47,58.373590982286636,63.12399355877617
48,57.33235077376566,62.490788504053064
49,59.29203539823009,62.958280657395704
50,63.88336646785952,68.389662027833
51,59.60433950223357,66.94320357370772
52,62.99212598425197,68.28919112383679
53,62.49073387694588,65.53002223869532
54,59.392265193370164,67.19613259668509
55,61.568627450980394,65.41176470588236
56,61.5,66.625
57,62.21518987341772,69.43037974683544
58,60.646230323115155,68.10273405136704
59,64.09674981103552,68.78306878306879
60,60.406447091800985,66.64330763840223
61,60.85343228200371,63.26530612244898
62,62.23821989528796,65.24869109947645
63,57.30769230769231,65.83333333333333
64,59.43262411347517,63.68794326241135
65,61.2635609444799,63.624760689215066
66,60.71428571428571,63.829787234042556
67,60.08037508372405,65.57267247153382
68,60.66576086956522,66.50815217391305
69,61.69429097605893,69.30632289748311
70,61.965240641711226,67.24598930481284
71,61.631205673758856,66.38297872340425
72,63.55775169857937,66.64607782581841
73,58.620689655172406,66.64320900774102
74,61.44578313253012,63.795180722891565
75,62.92537313432835,65.55223880597015
76,61.66064981949459,67.87003610108303
77,57.58313057583131,61.96269261962692
78,64.72346786248131,69.95515695067265
79,61.60370084811102,66.30686198920586
80,63.06852637962401,68.2838083687083
81,59.405204460966544,65.35315985130111
82,62.94117647058823,65.359477124183
83,64.13110698824984,67.77983920841064
84,60.273081924577376,62.74382314694408
85,58.26882477128783,62.5615763546798
86,65.10764662212324,66.96362286562731
87,60.859044162129464,62.67392619479734
88,61.10372340425532,64.69414893617021
89,65.00372300819062,68.50335070737155
90,64.4250168123739,68.45998655010087
91,59.8125,66.875
92,62.29086229086229,66.40926640926641
93,59.62861072902338,65.40577716643742
94,63.624760689215066,70.70835992342055
95,57.280883367839884,64.18219461697723
96,65.54105909439755,68.68764389869531
97,63.69656833232992,68.45273931366647
98,63.77358490566037,67.84905660377359
99,61.0312764158918,66.9484361792054
100,64.02048655569781,67.28553137003841
101,63.92447741065408,68.37491571139583
102,61.75084175084176,64.91582491582491
103,62.281879194630875,67.78523489932886
104,60.60225846925973,64.86825595984944
105,62.613195342820184,69.14618369987063
106,62.93436293436293,68.88030888030889
107,60.76124567474048,67.40484429065744
108,65.15994436717664,69.05424200278163
109,61.04651162790697,67.36918604651163
110,65.30334014996592,72.25630538513974
111,61.34800550206327,66.36863823933975
112,65.68819308545336,68.81930854533594
113,63.76712328767123,69.10958904109589
114,63.25224071702945,67.28553137003841
115,63.28645447816432,67.50555144337528
116,63.94658753709199,67.35905044510386
117,64.16539050535988,68.30015313935681
118,62.75946275946276,67.52136752136752
119,63.58885017421603,66.60859465737514
120,62.47606892150607,69.81493299298022
121,59.45604048070842,64.76913345983554
122,63.76210235131396,66.59751037344398
123,63.92638036809816,68.52760736196319
124,65.02375296912113,69.0023752969121
125,61.50202976995941,66.10284167794318
126,60.58441558441559,67.72727272727272
127,65.28614457831326,69.87951807228916
128,63.91526661796932,70.56245434623814
129,62.61127596439169,67.87833827893175
130,59.73665973665974,69.36936936936937
131,64.19316843345112,69.25795053003534
132,62.78118609406953,69.12065439672801
133,64.64646464646465,67.61734997029116
134,63.770053475935825,67.51336898395722
135,64.1778523489933,66.86241610738254
136,62.77419354838709,66.3225806451613
137,64.18010752688173,68.41397849462365
138,65.06431956668924,70.68381855111713
139,63.00067888662594,66.39511201629328
140,63.89737324373854,68.35675015271838
141,62.61808367071525,69.23076923076923
142,62.296195652173914,65.48913043478261
143,65.29516994633273,70.00596302921885
144,66.6907514450867,68.28034682080924
145,62.613195342820184,66.36481241914618
146,63.87530562347188,65.09779951100244
147,63.22368421052632,68.48684210526315
148,67.08860759493672,72.29254571026723
149,64.75862068965517,69.03448275862068
150,62.51748251748251,66.78321678321679
151,64.20595533498759,69.29280397022333
152,60.43636363636363,70.54545454545455
153,61.261872455902314,66.21438263229308
154,64.16893732970027,67.23433242506812
155,66.45833333333333,70.13888888888889
156,60.86956521739131,67.14285714285714
157,64.36363636363637,68.50909090909092
158,65.66791510611736,71.16104868913857
159,65.49295774647888,70.35851472471191
160,59.78494623655914,65.01792114695341
161,63.99345335515548,69.0671031096563
162,65.97014925373135,71.56716417910448
